2018-02-05 16:15:59 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 16:15:59', '125.71.67.201', 'Mozilla/5.0 (Linux; Android 5.1.1; SM-J3119S Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043507 Safari/537.36 MicroMessenger/6.5.13.1100 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 16:55:53 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 16:55:53', '125.71.167.148', 'Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) Mobile/14G60 MicroMessenger/6.6.1 NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 16:58:57 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 16:58:57', '222.209.42.40', 'Mozilla/5.0 (Linux; U; Android 4.4.4; zh-cn; OB-OPPO A31c Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Mobile Safari/537.36 OppoBrowser/4.4.9', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 17:21:16 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 17:21:16', '171.217.141.11', 'Mozilla/5.0 (Linux; U; Android 6.0.1; zh-CN; OPPO A57 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 UCBrowser/11.8.6.966 Mobile Safari/537.36', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 18:46:40 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 18:46:40', '125.71.163.195', 'Mozilla/5.0 (Linux; Android 5.1.1; OPPO R9 Plusm A Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-05 18:53:21 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-05 18:53:21', '125.71.163.195', 'Mozilla/5.0 (Linux; Android 5.1.1; OPPO R9 Plusm A Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043808 Mobile Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-06 00:56:19 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-06 00:56:19', '140.205.205.23', 'Go-http-client/1.1', 'http://ftotp.iotor.site:443:443/index.php?')
2018-02-06 08:39:53 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-06 08:39:53', '125.71.67.155', 'Mozilla/5.0 (Linux; Android 6.0; ZTE BV0701 Build/MRA58K; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043632 Safari/537.36 MicroMessenger/6.6.2.1240(0x26060235) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
2018-02-06 08:40:51 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-06 08:40:51', '61.151.178.164', 'Mozilla/5.0 (Linux; U; Android 4.4.4; zh-cn; MX4 Pro Build/KTU84P) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30', 'http://ftotp.iotor.site:443/index.php?')
2018-02-06 08:47:13 TRUE: insert into otprecord (view_time, user_ip, user_agent, view_url) values ('2018-02-06 08:47:13', '222.209.52.144', 'Mozilla/5.0 (Linux; Android 7.1.1; OPPO R11s Build/NMF26X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043906 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060133) NetType/WIFI Language/zh_CN', 'http://ftotp.iotor.site:443/index.php?')
